0	0.12	0.12
0.01	0.12	0.1159
0.02	0.12	0.1116
0.03	0.12	0.1071
0.04	0.12	0.1024
0.05	0.12	0.0975
0.06	0.12	0.0924
0.07	0.12	0.0871
0.08	0.12	0.0816
0.09	0.12	0.0759
0.1	0.12	0.07
0.11	0.12	0.0639
0.12	0.12	0.0576
0.13	0.12	0.0511
0.14	0.12	0.0444
0.15	0.12	0.0375
0.16	0.12	0.0304
0.17	0.12	0.0231
0.18	0.12	0.0156
0.19	0.12	0.0079
0.2	0.12	0
0.21	0.12	0.0019
0.22	0.12	0.0036
0.23	0.12	0.0051
0.24	0.12	0.0064
0.25	0.12	0.0075
0.26	0.12	0.0084
0.27	0.12	0.0091
0.28	0.12	0.0096
0.29	0.12	0.0099
0.3	0.12	0.01
0.31	0.12	0.0099
0.32	0.12	0.0096
0.33	0.12	0.0091
0.34	0.12	0.0084
0.35	0.12	0.0075
0.36	0.12	0.0064
0.37	0.12	0.0051
0.38	0.12	0.0036
0.39	0.12	0.0019
0.4	0.12	0
0.41	0.12	0.002
0.42	0.12	0.004
0.43	0.12	0.006
0.44	0.12	0.008
0.45	0.12	0.01
0.46	0.12	0.012
0.47	0.12	0.014
0.48	0.12	0.016
0.49	0.12	0.018
0.5	0.12	0.02
0.51	0.12	0.022
0.52	0.12	0.024
0.53	0.12	0.026
0.54	0.12	0.028
0.55	0.12	0.03
0.56	0.12	0.032
0.57	0.12	0.034
0.58	0.12	0.036
0.59	0.12	0.038
0.6	0.12	0.04
0.61	0.12	0.042
0.62	0.12	0.044
0.63	0.12	0.046
0.64	0.12	0.048
0.65	0.12	0.05
0.66	0.12	0.052
0.67	0.12	0.054
0.68	0.12	0.056
0.69	0.12	0.058
0.7	0.12	0.06
0.71	0.12	0.062
0.72	0.12	0.064
0.73	0.12	0.066
0.74	0.12	0.068
0.75	0.12	0.07
0.76	0.12	0.072
0.77	0.12	0.074
0.78	0.12	0.076
0.79	0.12	0.078
0.8	0.12	0.08
0.81	0.12	0.082
0.82	0.12	0.084
0.83	0.12	0.086
0.84	0.12	0.088
0.85	0.12	0.09
0.86	0.12	0.092
0.87	0.12	0.094
0.88	0.12	0.096
0.89	0.12	0.098
0.9	0.12	0.1
0.91	0.12	0.102
0.92	0.12	0.104
0.93	0.12	0.106
0.94	0.12	0.108
0.95	0.12	0.11
0.96	0.12	0.112
0.97	0.12	0.114
0.98	0.12	0.116
0.99	0.12	0.118
1	0.12	0.12
