0	0.08
0.01	0.076
0.02	0.072
0.03	0.068
0.04	0.064
0.05	0.06
0.06	0.056
0.07	0.052
0.08	0.048
0.09	0.044
0.1	0.04
0.11	0.036
0.12	0.032
0.13	0.028
0.14	0.024
0.15	0.02
0.16	0.016
0.17	0.012
0.18	0.008
0.19	0.004
0.2	0
0.21	0.0039
0.22	0.0076
0.23	0.0111
0.24	0.0144
0.25	0.0175
0.26	0.0204
0.27	0.0231
0.28	0.0256
0.29	0.0279
0.3	0.03
0.31	0.0319
0.32	0.0336
0.33	0.0351
0.34	0.0364
0.35	0.0375
0.36	0.0384
0.37	0.0391
0.38	0.0396
0.39	0.0399
0.4	0.04
0.41	0.0399
0.42	0.0396
0.43	0.0391
0.44	0.0384
0.45	0.0375
0.46	0.0364
0.47	0.0351
0.48	0.0336
0.49	0.0319
0.5	0.03
0.51	0.0279
0.52	0.0256
0.53	0.0231
0.54	0.0204
0.55	0.0175
0.56	0.0144
0.57	0.0111
0.58	0.0076
0.59	0.0039
0.6	0
0.61	0.0059
0.62	0.0116
0.63	0.0171
0.64	0.0224
0.65	0.0275
0.66	0.0324
0.67	0.0371
0.68	0.0416
0.69	0.0459
0.7	0.05
0.71	0.0539
0.72	0.0576
0.73	0.0611
0.74	0.0644
0.75	0.0675
0.76	0.0704
0.77	0.0731
0.78	0.0756
0.79	0.0779
0.8	0.08
0.81	0.0819
0.82	0.0836
0.83	0.0851
0.84	0.0864
0.85	0.0875
0.86	0.0884
0.87	0.0891
0.88	0.0896
0.89	0.0899
0.9	0.09
0.91	0.0899
0.92	0.0896
0.93	0.0891
0.94	0.0884
0.95	0.0875
0.96	0.0864
0.97	0.0851
0.98	0.0836
0.99	0.0819
1	0.08
