0	0.12
0.01	0.118
0.02	0.116
0.03	0.114
0.04	0.112
0.05	0.11
0.06	0.108
0.07	0.106
0.08	0.104
0.09	0.102
0.1	0.1
0.11	0.098
0.12	0.096
0.13	0.094
0.14	0.092
0.15	0.09
0.16	0.088
0.17	0.086
0.18	0.084
0.19	0.082
0.2	0.08
0.21	0.078
0.22	0.076
0.23	0.074
0.24	0.072
0.25	0.07
0.26	0.068
0.27	0.066
0.28	0.064
0.29	0.062
0.3	0.06
0.31	0.058
0.32	0.056
0.33	0.054
0.34	0.052
0.35	0.05
0.36	0.048
0.37	0.046
0.38	0.044
0.39	0.042
0.4	0.04
0.41	0.038
0.42	0.036
0.43	0.034
0.44	0.032
0.45	0.03
0.46	0.028
0.47	0.026
0.48	0.024
0.49	0.022
0.5	0.02
0.51	0.018
0.52	0.016
0.53	0.014
0.54	0.012
0.55	0.01
0.56	0.008
0.57	0.006
0.58	0.004
0.59	0.002
0.6	0
0.61	0.0019
0.62	0.0036
0.63	0.0051
0.64	0.0064
0.65	0.0075
0.66	0.0084
0.67	0.0091
0.68	0.0096
0.69	0.0099
0.7	0.01
0.71	0.0099
0.72	0.0096
0.73	0.0091
0.74	0.0084
0.75	0.0075
0.76	0.0064
0.77	0.0051
0.78	0.0036
0.79	0.0019
0.8	0
0.81	0.0079
0.82	0.0156
0.83	0.0231
0.84	0.0304
0.85	0.0375
0.86	0.0444
0.87	0.0511
0.88	0.0576
0.89	0.0639
0.9	0.07
0.91	0.0759
0.92	0.0816
0.93	0.0871
0.94	0.0924
0.95	0.0975
0.96	0.1024
0.97	0.1071
0.98	0.1116
0.99	0.1159
1	0.12
